type,id,name,parent_type,parent_id
list,901415352600,Website Launch/Publishing,folder,90147952555
list,901415352932,Website Maintenance/Technical Issue,folder,90147952555
list,901415353010,Website Content Update,folder,90147952555
folder,90141883342,TTAT - Trans Tech Auto & Truck,space,90141222492
list,901406859899,TTAT - SEO Content Tracker,folder,90141883342
list,901403203483,Website Maintenance/ Website Technical Issues,folder,90141883342
list,901405770090,Search Engine Optimization (SEO),folder,90141883342
list,901403937710,Admin/Others,folder,90141883342
list,901405371261,Google Ads,folder,90141883342
list,901406817885,Website Development,folder,90141883342
list,901408030003,Service Level Agreement Quota (copy),folder,90141883342
list,901414372783,Website Content Updates,folder,90141883342
folder,90142182731,TLM - Twelve Legs Marketing,space,90141222492
list,901406882693,TLM - SEO Content Tracker,folder,90142182731
list,901405158848,Search Engine Optimization (SEO),folder,90142182731
list,901403685204,Website Maintenance/ Website Technical Issues,folder,90142182731
list,901403685785,Website Content Update,folder,90142182731
list,901403821826,Admin/Others,folder,90142182731
list,901409266478,Social Media,folder,90142182731
list,901403917801,Website Design,folder,90142182731
list,901404322699,Google Ads,folder,90142182731
list,901404588565,Website Development,folder,90142182731
list,901406792692,Communication Plan,folder,90142182731
list,901406931399,Graphic Design,folder,90142182731
list,901407010795,Email Marketing,folder,90142182731
list,901407152363,DEMO SITE - Website Development,folder,90142182731
list,901407642726,Programatic/Digital Display,folder,90142182731
list,901407821023,Looker Studio Integrations,folder,90142182731
list,901413041771,TLM Sports Corp Resource Guide Ad,folder,90142182731
list,901414015785,Tablescapes Builder,folder,90142182731
list,901414094528,Shop The Look Plugin,folder,90142182731
list,901415657235,Demo Websites,folder,90142182731
folder,90144880127,VER - Vault Event Rentals,space,90141222492
list,901410035013,Admin/Others,folder,90144880127
list,901412749697,New Client Setup,folder,90144880127
list,901412749665,Website Design,folder,90144880127
list,901412913442,WP From Scratch,folder,90144880127
list,901413473229,Website Pre-Launch Checklist,folder,90144880127
list,901413780049,Website Launch/Publishing,folder,90144880127
list,901414273042,Website Updates/Edits/Management,folder,90144880127
